"question_id","classroom_id","is_correct","skill_id","created_at","attempt","student_id"
"952","19","1","636","2015-03-31T09:17:35.292Z","1","1114"
"960","19","1","641","2015-04-03T11:13:47.656Z","1","1114"
"962","19","1","641","2015-04-03T11:13:53.278Z","1","1114"
"974","19","0","641","2015-04-03T11:13:57.863Z","1","1114"
"958","19","1","641","2015-04-03T11:14:03.653Z","1","1114"
"959","19","1","641","2015-04-03T11:14:10.866Z","1","1114"
"972","19","1","641","2015-04-04T10:00:32.537Z","1","1114"
"960","19","1","641","2015-04-04T10:00:38.380Z","2","1114"
"973","19","1","641","2015-04-04T10:00:52.402Z","1","1114"
"971","19","1","641","2015-04-04T10:01:05.944Z","1","1114"
"974","19","1","641","2015-04-04T10:01:12.459Z","2","1114"
"951","19","1","636","2015-03-31T13:47:29.543Z","1","1139"
"948","19","1","636","2015-03-31T13:48:08.019Z","1","1139"
"947","19","1","636","2015-03-31T13:48:22.247Z","1","1139"
"950","19","0","636","2015-03-31T13:48:40.488Z","1","1139"
"956","19","1","636","2015-03-31T13:49:22.867Z","1","1139"
"959","19","1","641","2015-04-03T12:42:08.568Z","1","1139"
"975","19","1","641","2015-04-03T12:42:19.607Z","1","1139"
"972","19","1","641","2015-04-03T12:42:33.881Z","1","1139"
"974","19","1","641","2015-04-03T12:42:54.318Z","1","1139"
"971","19","1","641","2015-04-03T12:43:11.385Z","1","1139"
"943","19","1","635","2015-04-05T17:44:43.462Z","1","1139"
"944","19","1","635","2015-04-05T17:44:56.872Z","1","1139"
"945","19","1","635","2015-04-05T17:45:07.839Z","1","1139"
"936","19","1","635","2015-04-05T17:45:18.525Z","1","1139"
"938","19","1","635","2015-04-05T17:45:26.891Z","1","1139"
"954","19","0","636","2015-04-07T00:34:45.595Z","1","1139"
"955","19","1","636","2015-04-07T00:35:14.590Z","1","1139"
"948","19","1","636","2015-04-07T00:35:28.347Z","2","1139"
"953","19","1","636","2015-04-07T00:36:15.672Z","1","1139"
"947","19","1","636","2015-04-07T00:36:28.666Z","2","1139"
"969","19","1","641","2015-04-03T00:20:05.434Z","1","1123"
"974","19","0","641","2015-04-03T00:20:44.225Z","1","1123"
"966","19","1","641","2015-04-03T00:21:09.254Z","1","1123"
"961","19","1","641","2015-04-03T00:21:17.858Z","1","1123"
"970","19","1","641","2015-04-03T00:21:30.432Z","1","1123"
"960","19","1","641","2015-04-04T11:17:02.171Z","1","1123"
"963","19","1","641","2015-04-04T11:17:10.599Z","1","1123"
"966","19","1","641","2015-04-04T11:17:26.461Z","2","1123"
"976","19","1","641","2015-04-04T11:17:36.375Z","1","1123"
"967","19","1","641","2015-04-04T11:17:43.510Z","1","1123"
"943","19","1","635","2015-04-06T00:03:07.212Z","1","1123"
"940","19","1","635","2015-04-06T00:03:14.839Z","1","1123"
"941","19","1","635","2015-04-06T00:03:18.951Z","1","1123"
"937","19","1","635","2015-04-06T00:03:23.843Z","1","1123"
"939","19","1","635","2015-04-06T00:03:27.968Z","1","1123"
"976","19","0","641","2015-04-04T01:07:47.476Z","1","1132"
"972","19","1","641","2015-04-04T01:08:37.137Z","1","1132"
"977","19","1","641","2015-04-04T01:10:45.376Z","1","1132"
"968","19","1","641","2015-04-04T12:46:37.936Z","1","1132"
"962","19","1","641","2015-04-04T12:46:47.979Z","1","1132"
"951","19","1","636","2015-04-06T23:51:22.951Z","1","1132"
"954","19","1","636","2015-04-06T23:51:48.718Z","1","1132"
"953","19","1","636","2015-04-06T23:52:11.434Z","1","1132"
"955","19","1","636","2015-04-06T23:52:31.308Z","1","1132"
"949","19","1","636","2015-04-06T23:52:44.700Z","1","1132"
"967","19","1","641","2015-04-04T04:25:02.750Z","1","1149"
"968","19","1","641","2015-04-04T04:25:33.490Z","1","1149"
"976","19","1","641","2015-04-04T04:25:54.452Z","1","1149"
"974","19","1","641","2015-04-04T04:26:03.644Z","1","1149"
"959","19","1","641","2015-04-04T04:26:16.602Z","1","1149"
"942","19","0","635","2015-04-06T12:56:19.525Z","1","1149"
"944","19","0","635","2015-04-06T12:56:49.658Z","1","1149"
"938","19","1","635","2015-04-06T12:57:20.057Z","1","1149"
"939","19","0","635","2015-04-06T12:57:34.573Z","1","1149"
"940","19","0","635","2015-04-06T12:57:55.290Z","1","1149"
"948","19","1","636","2015-04-07T00:24:11.684Z","1","1149"
"954","19","1","636","2015-04-07T00:25:04.653Z","1","1149"
"949","19","1","636","2015-04-07T00:25:23.208Z","1","1149"
"951","19","0","636","2015-04-07T00:25:38.095Z","1","1149"
"955","19","1","636","2015-04-07T00:25:57.021Z","1","1149"
"927","19","0","632","2015-03-26T13:11:21.821Z","1","1111"
"931","19","0","632","2015-03-26T13:11:42.977Z","1","1111"
"922","19","0","632","2015-03-26T13:12:05.701Z","1","1111"
"930","19","0","632","2015-03-26T13:12:19.256Z","1","1111"
"923","19","0","632","2015-03-26T13:12:34.404Z","1","1111"
"954","19","1","636","2015-03-31T16:59:54.020Z","1","1111"
"955","19","1","636","2015-03-31T17:00:12.698Z","1","1111"
"965","19","1","641","2015-04-03T00:26:55.651Z","1","1111"
"970","19","1","641","2015-04-03T00:27:12.593Z","1","1111"
"964","19","1","641","2015-04-03T00:27:27.596Z","1","1111"
"975","19","1","641","2015-04-03T00:27:38.823Z","1","1111"
"976","19","1","641","2015-04-03T00:27:50.533Z","1","1111"
"965","19","1","641","2015-04-03T22:22:00.572Z","2","1111"
"938","19","1","635","2015-04-06T11:00:38.265Z","1","1111"
"939","19","1","635","2015-04-06T11:00:49.639Z","1","1111"
"944","19","1","635","2015-04-06T11:01:00.251Z","1","1111"
"941","19","1","635","2015-04-06T11:01:09.686Z","1","1111"
"942","19","1","635","2015-04-06T11:03:29.647Z","1","1111"
"956","19","1","636","2015-04-07T00:44:18.195Z","1","1111"
"954","19","1","636","2015-04-07T00:44:29.662Z","2","1111"
"951","19","1","636","2015-04-07T00:44:41.134Z","1","1111"
"947","19","1","636","2015-04-07T00:44:52.333Z","1","1111"
"948","19","0","636","2015-04-07T00:45:18.782Z","1","1111"
"961","19","1","641","2015-04-03T11:26:54.866Z","1","1134"
"972","19","1","641","2015-04-03T11:27:12.223Z","1","1134"
"970","19","0","641","2015-04-03T11:27:27.555Z","1","1134"
"971","19","1","641","2015-04-03T11:27:37.803Z","1","1134"
"967","19","1","641","2015-04-03T11:27:48.465Z","1","1134"
